00,CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
7,6645864,2016-12-20 11:03:55,,2016-12-20 11:03:55,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"490 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94103",9,Mission,"(37.765511320074, -122.417678769023)",Open311,
8,6645441,2016-12-20 10:03:50,,2016-12-20 10:04:53,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of FLORIDA ST and 18TH ST,9,Mission,"(37.7617009755953, -122.411090102877)",Voice In,
9,6645082,2016-12-20 08:56:14,,2016-12-20 08:56:14,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1441 STEVENSON ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.769114888707, -122.421342120267)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5859629b3da153f1b6e83a47/report.jpg
10,6644837,2016-12-20 08:10:07,,2016-12-20 08:12:57,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 18TH ST and YORK ST,10,Mission,"(37.76181718584, -122.409156844079)",Voice In,
11,6644741,2016-12-20 07:26:42,,2016-12-20 07:26:42,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1941 HARRISON ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.76654276882, -122.413051590739)",Web Self Service,
12,6644648,2016-12-20 06:22:16,,2016-12-20 06:22:16,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"375 ALABAMA ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.764560121831, -122.412151340269)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/58593e8d3da153f1b6e833e9/report.jpg
13,6644243,2016-12-19 19:49:40,,2016-12-19 19:49:40,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"475 HAMPSHIRE ST, SAN FRANCISCO, CA, 94110",10,Mission,"(37.763444364279, -122.408155944115)",Open311,
14,6644039,2016-12-19 17:55:11,,2016-12-19 17:55:11,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 10TH ST and BRANNAN ST,6,Mission,"(37.769243953611, -122.408007171216)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/58588f723da153f1b6e82d0c/report.jpg
15,6643983,2016-12-19 17:37:24,,2016-12-19 17:37:24,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1916 FOLSOM ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.766598646213, -122.415628754119)",Open311,
16,6643707,2016-12-19 16:12:40,,2016-12-19 16:13:29,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 19TH ST and HARRISON ST,9,Mission,"(37.7603237504559, -122.412643154322)",Voice In,
17,6643693,2016-12-19 16:09:26,,2016-12-19 16:11:59,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 19TH ST and FOLSOM ST,9,Mission,"(37.7604987364894, -122.41484199114)",Voice In,
18,6642784,2016-12-19 13:12:12,,2016-12-20 17:56:08,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"3182 24TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.752509718287, -122.416022763419)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/58584d1d3da153f1b6e82343/photo_20161219_131157.jpg
19,6642775,2016-12-19 13:11:30,,2016-12-20 17:56:06,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"400 ALABAMA ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.763833042374, -122.412416363753)",Voice In,
20,6642764,2016-12-19 13:10:20,,2016-12-19 13:10:20,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 18TH ST and FOLSOM ST,9,Mission,"(37.7620990219907, -122.414998461628)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/58584cb23da153f1b6e82328/photo_20161219_130950.jpg
21,6642585,2016-12-19 12:37:17,,2016-12-20 17:29:59,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1863 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.767249811484, -122.419699355551)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/585844f53da153f1b6e8212c/report.jpg
22,6642220,2016-12-19 11:33:24,,2016-12-20 17:08:39,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"480 POTRERO AVE, SAN FRANCISCO, CA, 94110",10,Mission,"(37.763487177168, -122.407510768644)",Web Self Service,
23,6641867,2016-12-19 10:32:28,,2016-12-19 10:33:31,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 15TH ST and CALEDONIA ST,9,Mission,"(37.7665704473143, -122.421531181949)",Voice In,
24,6640983,2016-12-19 08:10:41,,2016-12-19 08:12:10,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of FOLSOM ST and ENTERPRISE ST,9,Mission,"(37.7647053193971, -122.415250771618)",Voice In,
25,6640801,2016-12-19 06:55:20,,2016-12-20 15:54:59,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"400 ALABAMA ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.763833042374, -122.412416363753)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5857f4d03da153f1b6e80e1e/report.jpg
26,6640498,2016-12-18 22:32:05,,2016-12-18 22:52:20,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1500 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",9,Mission,"(37.7489895689, -122.416097672246)",Voice In,
27,6640324,2016-12-18 19:36:37,2016-12-18 20:39:46,2016-12-18 20:39:46,Closed,Case is Invalid - Invaild SR. No contact info and Photo doesn't show what the issue is.,311 Supervisor Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"3435 26TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.748881957958, -122.418944321796)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/585755be3da153f1b6e80a4f/report.jpg
28,6639677,2016-12-18 13:56:52,2016-12-18 18:40:19,2016-12-18 18:40:19,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2132 FOLSOM ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.763157528337, -122.415241067614)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5857061c3da153f1b6e8030f/report.jpg
29,6639568,2016-12-18 13:10:32,2016-12-19 07:30:07,2016-12-19 07:30:07,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"490 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94103",9,Mission,"(37.765511320074, -122.417678769023)",Open311,
30,6639323,2016-12-18 11:22:15,,2016-12-18 11:24:09,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of CALEDONIA ST and 15TH ST,9,Mission,"(37.7665704473143, -122.421531181949)",Voice In,
31,6639267,2016-12-18 11:09:03,2016-12-18 13:45:07,2016-12-18 13:45:07,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2850 CESAR CHAVEZ ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.748886738082, -122.406675527324)",Open311,
32,6639262,2016-12-18 11:07:42,,2016-12-18 11:07:42,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1368 POTRERO AVE, SAN FRANCISCO, CA, 94110",9,Mission,"(37.750798757193, -122.406169364537)",Open311,
33,6639212,2016-12-18 10:50:46,,2016-12-18 10:50:46,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 14TH ST and TRAINOR ST,9,Mission,"(37.7686021036354, -122.414540135493)",Open311,
34,6639204,2016-12-18 10:47:44,,2016-12-18 10:47:44,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of DIVISION ST and FLORIDA ST,9,Mission,"(37.7686928417827, -122.411758944213)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5856d9c93da153f1b6e7fcf8/report.jpg
35,6638918,2016-12-18 08:43:51,,2016-12-18 08:43:51,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 13TH ST and SOUTH VAN NESS AVE,6,Mission,"(37.7698151022261, -122.417753270894)",Open311,
36,6638527,2016-12-17 20:09:36,,2016-12-17 20:09:36,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 16TH ST and FOLSOM ST,9,Mission,"(37.7653147489607, -122.415308353435)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/58560bf53da153f1b6e7f6c1/report.jpg
37,6638445,2016-12-17 19:03:18,2016-12-17 23:34:34,2016-12-17 23:34:34,Closed,Case is Invalid - Invalid SR. No Cross Street or Address provided.,311 Supervisor Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of FLORIDA ST and,9,Mission,"(37.768113902, -122.411702174)",Open311,
38,6638390,2016-12-17 18:22:27,2016-12-19 08:55:17,2016-12-19 08:55:17,Closed,Area Cleaned - location 10-98 cant close out,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"50 14TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768695167542, -122.414687914668)",Open311,
39,6638348,2016-12-17 17:44:46,,2016-12-17 17:44:46,Open,in progress,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1890 BRYANT ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.763285740814, -122.410422766623)",Open311,
40,6638338,2016-12-17 17:40:16,,2016-12-17 18:07:17,Open,in progress,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1850 BRYANT ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.763745732193, -122.410466406491)",Open311,
41,6638337,2016-12-17 17:38:30,2016-12-18 14:10:20,2016-12-18 14:10:20,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"100 JULIAN AVE, SAN FRANCISCO, CA, 94103",9,Mission,"(37.766383925003, -122.42115752005)",Open311,
42,6638170,2016-12-17 16:04:06,2016-12-18 13:40:11,2016-12-18 13:40:11,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of CESAR CHAVEZ ON RAMP and HAMPSHIRE ST,9,Mission,"(37.748957298479, -122.40648746343)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5855d26c3da153f1b6e7f25f/report.jpg
43,6638105,2016-12-17 15:41:34,2016-12-21 00:25:39,2016-12-21 00:25:39,Closed,Area Cleaned - DPW does not move homeless encampments...Advised SFPD,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2147 FOLSOM ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.762783371425, -122.414880411586)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5855cd283da153f1b6e7f1a0/report.jpg
44,6637894,2016-12-17 14:27:13,2016-12-20 23:25:12,2016-12-20 23:25:12,Closed,Area Cleaned - Sent to ploice cad 16351391 Disp  19   Sent to police for assistance. Will clwan area when area is made safe.,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2957 HARRISON ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.750169637301, -122.411482023279)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5855bbb23da153f1b6e7eff3/report.jpg
45,6637887,2016-12-17 14:25:02,2016-12-20 23:25:13,2016-12-20 23:25:13,Closed,Area Cleaned - Sent to ploice cad 16351391 Disp  19   Sent to police for assistance. Will clwan area when area is made safe.,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2957 HARRISON ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.750169637301, -122.411482023279)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5855bb393da153f1b6e7efd5/report.jpg
46,6637870,2016-12-17 14:17:50,2016-12-18 17:40:04,2016-12-18 17:40:04,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of ERIE ST and MISSION ST,9,Mission,"(37.7690454018668, -122.420032143074)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5855b9893da153f1b6e7ef8c/report.jpg
47,6637868,2016-12-17 14:17:22,2016-12-21 00:25:55,2016-12-21 00:25:55,Closed,Area Cleaned - DPW does not move homeless encampments...Advised SFPD,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1845 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.767613812003, -122.419734207768)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5855b96a3da153f1b6e7ef82/report.jpg
48,6637768,2016-12-17 13:29:17,2016-12-21 00:25:38,2016-12-21 00:25:38,Closed,Area Cleaned - DPW does not move homeless encampments...Advised SFPD,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2132 FOLSOM ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.763157528337, -122.415241067614)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5855ae293da153f1b6e7ee77/photo_20161217_132847.jpg
49,6637470,2016-12-17 11:41:09,,2016-12-17 11:55:34,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"490 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94103",9,Mission,"(37.765511320074, -122.417678769023)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/585594c73da153f1b6e7eb0c/report.jpg
50,6637464,2016-12-17 11:39:07,,2016-12-17 11:39:07,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"3300 CESAR CHAVEZ ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.748554495253, -122.416165089726)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/585594553da153f1b6e7ead9/report.jpg
51,6637460,2016-12-17 11:37:24,,2016-12-17 11:37:25,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"260 SHOTWELL ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.764267656588, -122.416359464958)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/585593ee3da153f1b6e7eac7/report.jpg
52,6637456,2016-12-17 11:36:26,,2016-12-17 11:36:26,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"240 SHOTWELL ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.764751154394, -122.416438535593)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/585593b43da153f1b6e7eaaf/report.jpg
53,6637455,2016-12-17 11:35:48,,2016-12-17 11:35:48,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 16TH ST and SHOTWELL ST,9,Mission,"(37.765249409965, -122.416387642122)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5855938e3da153f1b6e7eaa3/report.jpg
54,6637428,2016-12-17 11:28:48,2016-12-20 23:25:13,2016-12-20 23:25:13,Closed,Area Cleaned - Sent to ploice cad 16351391 Disp  19   Sent to police for assistance. Will clwan area when area is made safe.,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2957 HARRISON ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.750169637301, -122.411482023279)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/585591e73da153f1b6e7ea58/report.jpg
55,6637408,2016-12-17 11:23:00,,2016-12-20 15:54:54,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2957 HARRISON ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.750169637301, -122.411482023279)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/585590903da153f1b6e7ea33/report.jpg
56,6637353,2016-12-17 10:53:56,,2016-12-17 11:08:17,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"400 ALABAMA ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.763833042374, -122.412416363753)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/585589bb3da153f1b6e7e914/report.jpg
57,6637346,2016-12-17 10:52:12,,2016-12-17 11:08:14,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2948 20TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.759274088308, -122.410265302492)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/585589543da153f1b6e7e8f0/photo_20161217_104930.jpg
58,6636494,2016-12-16 20:15:23,2016-12-20 23:25:16,2016-12-20 23:25:16,Closed,Area Cleaned - Sent to ploice cad 16351391 Disp  19   Sent to police for assistance. Will clwan area when area is made safe.,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2957 HARRISON ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.750169637301, -122.411482023279)",Web Self Service,
59,6636452,2016-12-16 19:39:26,2016-12-18 13:55:18,2016-12-18 13:55:18,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1500 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",9,Mission,"(37.7489895689, -122.416097672246)",Voice In,
60,6636404,2016-12-16 19:12:34,2016-12-18 07:10:45,2016-12-18 07:10:45,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 15TH ST and CALEDONIA ST,9,Mission,"(37.7665704473143, -122.421531181949)",Open311,
61,6636368,2016-12-16 18:47:19,2016-12-16 19:26:01,2016-12-16 19:26:01,Closed,Case is a Duplicate -,311 Supervisor Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"445 HAMPSHIRE ST, SAN FRANCISCO, CA, 94110",10,Mission,"(37.763737166752, -122.408183122791)",Open311,
62,6636326,2016-12-16 18:30:02,2016-12-18 07:10:44,2016-12-18 07:10:44,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of CALEDONIA ST and 15TH ST,9,Mission,"(37.7665704473143, -122.421531181949)",Voice In,
63,6635365,2016-12-16 13:38:23,,2016-12-16 13:38:23,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 16TH ST and SHOTWELL ST,9,Mission,"(37.765249409965, -122.416387642122)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/58545ec03da153f1b6e7daac/report.jpg
64,6633596,2016-12-16 07:40:43,,2016-12-16 09:08:55,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1970 HARRISON ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.766061583137, -122.413233132411)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/58540aef3da153f1b6e7cc81/report.jpg
65,6633573,2016-12-16 07:32:02,2016-12-16 10:45:22,2016-12-16 10:45:22,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1880 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.767159874561, -122.420032495993)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/585408e43da153f1b6e7cbfb/report.jpg
66,6633568,2016-12-16 07:31:33,2016-12-16 10:31:05,2016-12-16 10:31:05,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1880 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.767159874561, -122.420032495993)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/585408c93da153f1b6e7cbe6/report.jpg
67,6633030,2016-12-15 18:59:10,2016-12-19 00:26:29,2016-12-19 00:26:29,Closed,Area Cleaned - 10-98,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2860 16TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.765353291362, -122.416721001111)",Open311,
68,6633020,2016-12-15 18:56:13,2016-12-16 14:55:07,2016-12-16 14:55:07,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"490 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94103",9,Mission,"(37.765511320074, -122.417678769023)",Open311,
69,6632983,2016-12-15 18:29:03,2016-12-18 17:55:04,2016-12-18 17:55:04,Closed,Case Transferred - need crew,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 16TH ST and FOLSOM ST,9,Mission,"(37.7653147489607, -122.415308353435)",Voice In,
70,6632545,2016-12-15 16:07:34,2016-12-19 00:27:08,2016-12-19 00:27:08,Closed,Area Cleaned - 08:01AM SFPD Dispatcher 104 (HOLD 2 minutes) CAD# 727,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1656 15TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.766718673102, -122.421267483133)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/585330353da153f1b6e7c44d/photo_20161215_160650.jpg
71,6632281,2016-12-15 15:13:37,2016-12-19 21:25:05,2016-12-19 21:25:05,Closed,Area Cleaned - Called SFPD for Homeless Assistance 415-553-0123 CAD # 163503550,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1850 BRYANT ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.763745732193, -122.410466406491)",Voice In,
72,6632047,2016-12-15 14:06:59,2016-12-19 18:25:17,2016-12-19 18:25:17,Closed,Area Cleaned - 1098,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1789 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768614044174, -122.419822993593)",Web Self Service,
73,6630804,2016-12-15 09:39:54,2016-12-19 00:27:21,2016-12-19 00:27:21,Closed,Area Cleaned - 09:50AM SFPD Dispatcher 98 CAD #  163400099,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"94 VIRGIL ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.749312582584, -122.415468139433)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5852d55e3da153f1b6e7b7fa/report.jpg
74,6630402,2016-12-15 08:30:50,2016-12-19 09:25:24,2016-12-19 09:25:24,Closed,Area Cleaned - Contacted SFPD,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1157 CAPP ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.748432665654, -122.417413502031)",Voice In,
75,6630182,2016-12-15 07:20:50,2016-12-19 00:27:47,2016-12-19 00:27:47,Closed,Area Cleaned - 08:01AM SFPD Dispatcher 104 (HOLD 2 minutes) CAD# 727,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 15TH ST and JULIAN AVE,9,Mission,"(37.7665993360598, -122.421056485527)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5852b4c73da153f1b6e7b1b0/report.jpg
76,6630179,2016-12-15 07:20:30,2016-12-19 00:27:35,2016-12-19 00:27:35,Closed,Area Cleaned - 08:01AM SFPD Dispatcher 104 (HOLD 2 minutes) CAD# 727,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of 15TH ST and JULIAN AVE,9,Mission,"(37.7665993360598, -122.421056485527)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5852b4b33da153f1b6e7b19c/report.jpg
77,6630105,2016-12-15 05:19:11,2016-12-15 11:10:31,2016-12-15 11:10:31,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"100 JULIAN AVE, SAN FRANCISCO, CA, 94103",9,Mission,"(37.766383925003, -122.42115752005)",Web Self Service,
78,6630104,2016-12-15 05:17:10,2016-12-16 17:10:20,2016-12-16 17:10:20,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1656 15TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.766718673102, -122.421267483133)",Web Self Service,
79,6630013,2016-12-15 00:05:19,,2016-12-15 00:37:30,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"66 SHOTWELL ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.767403608575, -122.416740179248)",Open311,
80,6629946,2016-12-14 21:55:28,,2016-12-14 22:22:45,Open,open,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"32 SHOTWELL ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.767880181091, -122.41677196966)",Open311,
81,6629773,2016-12-14 19:16:20,2016-12-18 21:25:05,2016-12-18 21:25:05,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,Intersection of JULIAN AVE and 14TH ST,9,Mission,"(37.7681993877703, -122.421209982613)",Voice In,
82,6629753,2016-12-14 19:01:43,2016-12-15 13:05:14,2016-12-15 13:05:14,Closed,Area Cleaned -,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"2900 18TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.761773662755, -122.411567420655)",Web Self Service,http://mobile311.sfgov.org/media/san_francisco/report/photos/5852078a3da19793c74d29dc/IMG_20161214_184839.jpg
83,6629741,2016-12-14 18:58:03,2016-12-18 12:25:33,2016-12-18 12:25:33,Closed,Area Cleaned - Contacte SFPD,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal Encampment,Encampment Cleanup,"1941 HARRISON ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.76654276882, -122.413051590739)",Web Self Service,
